645,External(2000) external_loc(2) 5-60min(4000) advancedexternal(2) fullpage_loc(1) 10min-advancedexternal(2) SMS(300) SubaccountB+(s)(10) PP(1) Weekly summary report(1) History(1) Add Report(1) Add VT Report(1) API() API_Custom_GET() API_Custom_POST() API_Predefined_GET() API_Predefined_POST() 
1158,External(100) external_loc(4) 1-60min(400) advancedexternal(5) fullpage_loc(2) 5min-advancedexternal(10) SMS(100) SubaccountB+(s)(2) PP(1) API_Predefined_GET() API_Predefined_POST() API_Custom_GET() API_Custom_POST() Weekly summary report(1) History(1) Add Report(1) Add VT Report(1) 
1986,External(20) external_loc(5) 1-60min(100) Transaction(11) transaction_loc(2) 10min-transaction(22) SMS(100) SubaccountB+(s)(8) PP(1) Server(2) VT(5) EC2(1) Weekly summary report(1) History(1) Add Report(1) Add VT Report(1) API() API_Custom_GET() API_Custom_POST() API_Predefined_GET() API_Predefined_POST() 
2238,External(30) external_loc(5) 5-60min(150) Server(50) Transaction(1) transaction_loc(1) 20min-transaction(1) VT(5) SMS(100) SubaccountB+(s)(1) PP(1) API(1) Weekly summary report(1) History(1) Add Report(1) Add VT Report(1) 
2423,External(36) external_loc(1) 5-60min(36) SMS(100) Weekly summary report(1) History(1) Add Report(1) Add VT Report(1) 
2593,External(13) external_loc(6) 1-60min(78) advancedexternal(5) fullpage_loc(3) 20min-advancedexternal(15) PP(1) Weekly summary report(1) History(1) Add Report(1) Add VT Report(1) API_Predefined_GET(1) API_Predefined_POST(1) API_Custom_GET(1) API_Custom_POST(1) 
2714,External(20) external_loc(4) 5-60min(80) Server(27) VT(1) SMS(15) SubaccountB+(s)(3) PP(1) Weekly summary report(1) History(1) Add Report(1) Add VT Report(1) 
2720,External(20) external_loc(6) 5-60min(120) Transaction(4) transaction_loc(1) 20min-transaction(4) advancedexternal(1) fullpage_loc(1) 20min-advancedexternal(1) VT(5) SMS(100) SubaccountB+(s)(2) PP(1) API_Predefined_GET() API_Predefined_POST() API_Custom_GET() API_Custom_POST() EC2(1) s3(2) Server(2) custom(2) Weekly summary report(1) History(1) Add Report(1) Add VT Report(1) 
3078,External(300) external_loc(1) 3-60min(300) Transaction(1) transaction_loc(1) 5min-transaction(1) advancedexternal(2) fullpage_loc(2) 5min-advancedexternal(4) SubaccountB+(s)(6) PP(1) Server(9) Weekly summary report(1) History(1) Add Report(1) Add VT Report(1) API() API_Custom_GET() API_Custom_POST() API_Predefined_GET() API_Predefined_POST() 
3197,External(20) external_loc(3) 5-60min(60) Server(65) advancedexternal(10) fullpage_loc(1) 20min-advancedexternal(10) SMS(200) API_Predefined_GET() API_Predefined_POST() API_Custom_GET() API_Custom_POST() Weekly summary report(1) History(1) Add Report(1) Add VT Report(1) 
3715,External(20) external_loc(6) 1-60min(120) Transaction(1) transaction_loc(1) 20min-transaction(1) advancedexternal(1) fullpage_loc(1) 20min-advancedexternal(1) VT(5) SMS(100) Server(5) custom(2) EC2(1) s3(2) Weekly summary report(1) History(1) Add Report(1) Add VT Report(1) API() API_Custom_GET() API_Custom_POST() API_Predefined_GET() API_Predefined_POST() 
3762,External(30) external_loc(6) 5-60min(180) Server(2) Transaction(1) transaction_loc(1) 20min-transaction(1) advancedexternal(5) fullpage_loc(1) 20min-advancedexternal(5) VT(5) SMS(150) SubaccountB+(s)(1) PP(1) API_Predefined_GET() API_Predefined_POST() API_Custom_GET() API_Custom_POST() EC2(1) s3(2) custom(2) Weekly summary report(1) History(1) Add Report(1) Add VT Report(1) 
3831,External(40) external_loc(6) 5-60min(240) Server(2) Transaction(1) transaction_loc(1) 20min-transaction(1) advancedexternal(1) fullpage_loc(1) 20min-advancedexternal(1) VT(5) SMS(100) API_Predefined_GET() API_Predefined_POST() API_Custom_GET() API_Custom_POST() EC2(1) s3(2) custom(2) Weekly summary report(1) History(1) Add Report(1) Add VT Report(1) 
4022,External(50) external_loc(4) 1-60min(200) Server(5) Transaction(2) transaction_loc(1) 20min-transaction(2) VT(10) SMS(200) SubaccountB+(s)(2) PP(1) API(1) EC2(2) Weekly summary report(1) History(1) Add Report(1) Add VT Report(1) 
